
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Créateur";"Créateur/Groupe";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Statut actuel.Date modif statut";
"00000201 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"04/03/11";;" ";"MARION Jean (F13017)";"MARION Jean (F13017)";"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";
"00000244 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"12/12/11";;" ";;;"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";
"00001207 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"14/02/12";;" ";;;"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";
"00001208 ";"DOCN";" ";"[DI001]MEA objet du courrier";"14/02/12";;" ";;;"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";
"00001217 ";"DOCN";" ";"[DI001]-MEA de [nom Classe 3]";"17/02/12";;" ";;;"BLA";;"Société EDF";"MARION";;"NOUVEAU";"17/02/12";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT011MA";"AUCOIN Jean-Luc (E31647)";"AUCOIN Jean-Luc (E31647)";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT012MA";"AUCOIN Jean-Luc (E31647)";"AUCOIN Jean-Luc (E31647)";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT013MA";"AUCOIN Jean-Luc (E31647)";"AUCOIN Jean-Luc (E31647)";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT014MA";"AUCOIN Jean-Luc (E31647)";"AUCOIN Jean-Luc (E31647)";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/04/17";"25/06/17";" ";"PAIDSILD";"PAIDSILD";"BLA";;"Société externe";"9TQTP001";;"APPROUVÉ";"25/04/17";
"00061591 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"30/10/18";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 ING";;;;"NOUVEAU";"26/04/17";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"25/06/20";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 ING";;;;"APPROUVÉ";"27/09/17";
"00064808 ";"DOCN";" ";"[DI001]MEA gammes mutualisées suite REX d'exploitation - BLA";"06/06/17";"07/01/18";" ";"SAINT-JEAN Marie Christine (B06516)";"SAINT-JEAN Marie Christine (B06516)";"BLA";"SN3 MSR";;;;"NOUVEAU";"06/06/17";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"07/06/17";"08/08/17";" ";"PAIDSILD";"PAIDSILD";"BLA";"PAIDSILD";;;;"NOUVEAU";"07/06/17";
"00064995 ";"DOCN";" ";"[DI001]- MEA FA REN 019 et NEC PNPPi632- BLA";"07/06/17";"08/08/17";" ";;;"BLA";"PAIDSILD";;;;"NOUVEAU";"07/06/17";
"00065203 ";"DOCN";" ";"Instruction du prog.échangeurs et GSS pour le DMAT 30/06/16";"09/06/17";"09/07/17";" ";;;"BLA";"APPROB DT";;;;"ANNULÉ";"09/06/17";
"00065396 ";"DOCN";"AUT";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"12/06/17";"16/06/17";" ";"PAIDSILD";"PAIDSILD";"BLA";"SN4 ING";;;;"APPROUVÉ";"12/06/17";
"00065627 ";"DOCN";"ELE";"[DI001]-MEA RNM TPAL AM772-01 ind0 - BLA";"14/06/17";"21/12/17";" ";"PAIDSILD";"PAIDSILD";"BLA";"APPROB DT";;;;"APPROUVÉ";"15/06/17";
"00071762 ";"DOCN";" ";"DI001-MEA REGLES GENE SURV ENT PNPP1675 - BLA";"17/08/17";"31/12/17";" ";"SN4 ING";"SN4 ING";"BLA";"SN4 ING";;;;"APPROUVÉ";"23/08/17";
