
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date échéance PA";"Site affecté";"Site PA";"Groupe responsable";"Libellé statut plan d'action";"Action.N° Action";"Sujet action";"Date échéance action";"Verrouillage date";"Site Affecté";"Site Action";"Groupe primaire ""Affecté à""";"Groupe secondaire ""Affecté à""";"Affecté à";"Statut action";"Date statut";"Etat";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"31/03/14";"BLA";"BLA";"SN4 AUT";"ANNULÉ";" -  ";;;;;;;;;;;"Active";
"00065396 ";"DOCN";"AUT";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"16/06/17";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00065396 - 01 ";"[SP900] MHA - INTEGR D0900CP1600068 et D0900CP1600028 - BLA";"14/06/17";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"12/06/17";"Active";
"00065396 ";"DOCN";"AUT";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"16/06/17";"EDF";"BLA";"SN4 ING";"APPROUVÉ";"00065396 - 02 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -AUT";"14/06/17";"O";;"BLA";"AUT-MA";;;"NOUVEAU";"12/06/17";"Active";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/17";"EDF";"BLA";;"APPROUVÉ";"00061525 - 01 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/17";"O";"BLA";"BLA";"PAIDSILD";;;"ACC/PRI";"25/04/17";"Active";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/06/17";"EDF";"BLA";;"APPROUVÉ";"00061525 - 02 ";"[SP900] INTEGRATION FA04 au PB 900 AM050 07 indice 2 - RO";"25/06/17";"O";;;;;"MARSAL Gaelle (F56854)";"ACC/AFF";"26/04/17";"Active";
"00065203 ";"DOCN";" ";"Instruction du prog.échangeurs et GSS pour le DMAT 30/06/16";"09/07/17";;"BLA";"APPROB DT";"ANNULÉ";"00065203 - 01 ";"Analyse impact Instruct.prog.échangeurs&GSS DMAT 30/06/2016";"09/07/17";"N";"TRI";"TRI";"PAIDSMTFIA";;;"ANNULÉ";"09/06/17";"Close";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 01 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -BLA";"08/08/17";"O";"BLA";"BLA";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 02 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -AUT";"08/08/17";"O";;"9E";"SP9-COORDO";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 03 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -DAM";"08/08/17";"O";"DAM";"DAM";"PAIDSILD";;;"NOUVEAU";"07/06/17";"Active";
"00064988 ";"DOCN";"ANA";"[DI001]- MEA FA REN 019 et NEC PNPPi632 - BLA";"08/08/17";"EDF";"BLA";"PAIDSILD";"NOUVEAU";"00064988 - 04 ";"[SP900] INTEGRATION D0900CP1600068 et D0900CP1600028 -TRI";"08/08/17";"O";"TRI";"TRI";"PAIDSILFIA";;;"NOUVEAU";"07/06/17";"Active";
