
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Date modif statut";"Type de note";"Notes concaténées";
"00000201 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"04/03/11";;" ";"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";"D";" CADRE D'INTEGRATION : Objet de la lettre MEA OBJECTIF/CONTEXTE : Contexte de la lettre MEA APPLICABILITE : Palier DECLINAISON COMPLETE : OUI/NON si NON pourquoi CHARGE DE TRAVAIL ESTIMEE : § 3.13 de l'étude d'impact";
"00000244 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"12/12/11";;" ";"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";"D";" CADRE D'INTEGRATION : Objet de la lettre MEA OBJECTIF/CONTEXTE : Contexte de la lettre MEA APPLICABILITE : Palier DECLINAISON COMPLETE : OUI/NON si NON pourquoi CHARGE DE TRAVAIL ESTIMEE : § 3.13 de l'étude d'impact";
"00001207 ";"DOCN";" ";"[DI001]-MEA objet du courrier";"14/02/12";;" ";"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";"D";" CADRE D'INTEGRATION : Objet de la lettre MEA OBJECTIF/CONTEXTE : Contexte de la lettre MEA APPLICABILITE : Palier DECLINAISON COMPLETE : OUI/NON si NON pourquoi CHARGE DE TRAVAIL ESTIMEE : § 3.13 de l'étude d'impact";
"00001208 ";"DOCN";" ";"[DI001]MEA objet du courrier";"14/02/12";;" ";"BLA";;"Société EDF";"MARION";;"ANNULÉ";"17/02/12";"D";" CADRE D'INTEGRATION : Objet de la lettre MEA OBJECTIF/CONTEXTE : Contexte de la lettre MEA APPLICABILITE : Palier DECLINAISON COMPLETE : OUI/NON si NON pourquoi CHARGE DE TRAVAIL ESTIMEE : § 3.13 de l'étude d'impact";
"00001217 ";"DOCN";" ";"[DI001]-MEA de [nom Classe 3]";"17/02/12";;" ";"BLA";;"Société EDF";"MARION";;"NOUVEAU";"17/02/12";"D";" CADRE : Objet de la lettre MEA CONTEXTE : Contexte de la lettre MEA APPLICABILITE : Palier DECLINAISON COMPLETE : OUI/NON si NON pourquoi CHARGE DE TRAVAIL : § 3.13 de l'étude d'impact";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT011MA";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";"D";" 1. description détaillée: le CCTP 900 national demande un contrôle REF +/- 20% à l'aide du test source interne alors que le constructeur confirme la non réalisation technique de ce test. Des fnc ont déjà été émises dans ce sens. 2. analyse de l'écart:   2.1 impact sûreté: aucun    2.1.1: écart de qualification: non    2.1.2: écart sur un critère RGE: non    2.1.3  redevable d'un évênement STE: non   2.2 causes de l'écart:   le CCTP demande un contrôle non réalisable techniquement, car un test source manuel ne peut pas être positionné toujours exactement au même endroit. De plus le calcul doit se faire sur une sortie ANA logarithmique qui augmente les écarts.   2.3 aspect générique: aucun   2.4 traitement de l'écart: voir actions associées";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT012MA";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";"D";" 1. description détaillée: le CCTP 900 national demande un contrôle REF +/- 20% à l'aide du test source interne alors que le constructeur confirme la non réalisation technique de ce test. Des fnc ont déjà été émises dans ce sens. 2. analyse de l'écart:   2.1 impact sûreté: aucun    2.1.1: écart de qualification: non    2.1.2: écart sur un critère RGE: non    2.1.3  redevable d'un évênement STE: non   2.2 causes de l'écart:   le CCTP demande un contrôle non réalisable techniquement, car un test source manuel ne peut pas être positionné toujours exactement au même endroit. De plus le calcul doit se faire sur une sortie ANA logarithmique qui augmente les écarts.   2.3 aspect générique: aucun   2.4 traitement de l'écart: voir actions associées";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT013MA";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";"D";" 1. description détaillée: le CCTP 900 national demande un contrôle REF +/- 20% à l'aide du test source interne alors que le constructeur confirme la non réalisation technique de ce test. Des fnc ont déjà été émises dans ce sens. 2. analyse de l'écart:   2.1 impact sûreté: aucun    2.1.1: écart de qualification: non    2.1.2: écart sur un critère RGE: non    2.1.3  redevable d'un évênement STE: non   2.2 causes de l'écart:   le CCTP demande un contrôle non réalisable techniquement, car un test source manuel ne peut pas être positionné toujours exactement au même endroit. De plus le calcul doit se faire sur une sortie ANA logarithmique qui augmente les écarts.   2.3 aspect générique: aucun   2.4 traitement de l'écart: voir actions associées";
"00006899 ";"DOCN";"TOR";"2KRT011/012/013/014MA : contrôle REF +/- 20% non réalisable";"12/03/14";"31/03/14";"2KRT014MA";"BLA";"SN4 AUT";;;;"ANNULÉ";"20/06/16";"D";" 1. description détaillée: le CCTP 900 national demande un contrôle REF +/- 20% à l'aide du test source interne alors que le constructeur confirme la non réalisation technique de ce test. Des fnc ont déjà été émises dans ce sens. 2. analyse de l'écart:   2.1 impact sûreté: aucun    2.1.1: écart de qualification: non    2.1.2: écart sur un critère RGE: non    2.1.3  redevable d'un évênement STE: non   2.2 causes de l'écart:   le CCTP demande un contrôle non réalisable techniquement, car un test source manuel ne peut pas être positionné toujours exactement au même endroit. De plus le calcul doit se faire sur une sortie ANA logarithmique qui augmente les écarts.   2.3 aspect générique: aucun   2.4 traitement de l'écart: voir actions associées";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/04/17";"25/06/17";" ";"BLA";;"Société externe";"9TQTP001";;"APPROUVÉ";"25/04/17";"A";" analyse impact bla bla blab";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/04/17";"25/06/17";" ";"BLA";;"Société externe";"9TQTP001";;"APPROUVÉ";"25/04/17";"D";"CADRE : MEA de la FA04 au PB 900 AM050 07 indice 2 CONTEXTE : Arrete d'exploitation CPP/CSP APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h JJKDVGNSDJKGEIOGHDE";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/04/17";"25/06/17";" ";"BLA";;"Société externe";"9TQTP001";;"APPROUVÉ";"25/04/17";"I";"test droit resp action";
"00061525 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"25/04/17";"25/06/17";" ";"BLA";;"Société externe";"9TQTP001";;"APPROUVÉ";"25/04/17";"S";"SUIVI D AVANCEMENT PA cp suivante : màj suivi 2 bla";
"00061591 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"30/10/18";" ";"BLA";"SN4 ING";;;;"NOUVEAU";"26/04/17";"D";" CADRE : MEA de la FA04 au PB 900 AM050 07 indice 2 CONTEXTE : Arrete d'exploitation CPP/CSP APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 4h JJKDVGNSDJKGEIOGHDE";
"00061592 ";"DOCN";" ";"[DI001]- MEA de la FA04 au PB 900 AM050 07 indice 2 - BLA";"26/04/17";"25/06/20";" ";"BLA";"SN4 ING";;;;"APPROUVÉ";"27/09/17";"A";" analyse impact capitalisée dans NIR (voir document du PA)";
