
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Action.N° Action";"Sujet action";"Date échéance action";"Affecté à";"Groupe primaire ""Affecté à""";"Groupe secondaire ""Affecté à""";"Dep ""Affecté à"" (Libellé)";"Responsable de l'action";"Statut action";"Statut actuel action.Date modif statut";"N° PA";"Action.N° Action";"Type de référence";"Référence";"Sous référence";"Finir pour fermer PLN";"XREF_IND_2";"SYSTEM_ID";
"00003562 ";"DOCN";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"01";"DAM  - CIA Référentiel Grands Chauds CPY - 1P2017 - SSI DOC";"31/07/17";;"PADOCPRDOC";;;;"NOTF/PRI";"18/11/14";;"01";;;;;;;
"00003562 ";"DOCN";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"02";"DAM  - CIA Compl DA GD CHD- 1P2017 - SSI DOC";"31/07/17";;"PADOCPRDOC";;;;"NOTF/PRI";"18/11/14";;"02";;;;;;;
"00003595 ";"DOCN";" ";"DI001-STE Amendement au ""DA Grands Chauds""-1P3417";"19/09/13";"18/07/17";" ";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"01";"DAM-Amendement ""Grands Chauds"" STE-1P3215-SSI DOC";"18/07/17";;"PADOCPRDOC";;;;"NOUVEAU";"19/09/13";;"01";;;;;;;
"00003595 ";"DOCN";" ";"DI001-STE Amendement au ""DA Grands Chauds""-1P3417";"19/09/13";"18/07/17";" ";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"02";"Intégration du DA GC dans le CdQ informatique";"18/07/17";;"PAEXPPRDOC";;;;"NOUVEAU";"26/02/16";;"02";;;;;;;
"00003629 ";"DOCN";" ";"DI001 - STE PNPP1267 TOME B POMPES RCV - 1P2017 DAM";"25/09/13";"18/07/17";" ";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"01";"DAM - STE PNPP1267 B CRITERES  POMPES RCV - 1P2017- SSI DOC";"18/07/17";;"PADOCPRDOC";;;;"NOUVEAU";"25/09/13";;"01";;;;;;;
"00003665 ";"DOCN";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"01";"DAM - CIA PNPP1267 - 1P2017 SSI DOC";"31/07/17";;"PADOCPRDOC";;;;"NOTF/PRI";"18/11/14";;"01";;;;;;;
"00003669 ";"DOCN";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"01";"DAM - CIA DA RCV PNPP1267 Tome B - 1P2017 SSI DOC";"31/07/17";;"PADOCPRDOC";;;;"NOTF/PRI";"18/11/14";;"01";;;;;;;
"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"01";"DAM - CIA DA GChauds  - 1P2017 SSI DOC";"31/07/17";;"PADOCPRDOC";;;;"ACC/PRI";"06/07/16";;"01";;;;;;;
"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"02";"[DAM] INTEGRATION D0900 CP 12 00034 - 1P2017-CO";"08/07/17";;"PAEXPPI";;;;"CLÔTURÉ";"20/06/17";"00003775";"02";"MP";"00000418";"40";;;"A";
"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"02";"[DAM] INTEGRATION D0900 CP 12 00034 - 1P2017-CO";"08/07/17";;"PAEXPPI";;;;"CLÔTURÉ";"20/06/17";"00003775";"02";"MP";"00000418";"41";;;"A";
