
"Grp_Resp";"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date échéance PA";"Libellé statut plan d'action";"N° Action";"Sujet action";"Date échéance action";"Site Action";"Groupe primaire";"Statut action";"Date modif statut";"Etat";
"PAIDSPRSYS";"00006577 ";"DOCN";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"30/06/14";"APPROUVÉ";"00006577 - 02 ";"DAM - INTEGRATION PB AM450 14 ind 0 - 1234P2015 MT";"30/06/14";"DAM";"PAMECPI";"NOTF/PRI";"26/06/17";"Active";
;;;;;;;"00006577 - 03 ";"DAM - INTEGRATION PB AM450 14 ind 0 - 1234P2015 ILD";"30/06/14";"DAM";"PAIDSILD";"ACC/PRI";"26/06/14";"Active";
;;;;;;;"00006577 - 04 ";"DAM - INTEGRATION PB AM450 14 ind 0 - 1234P2015 MT";"30/06/14";"DAM";"PAMECPI";"NOTF/PRI";"26/06/17";"Active";
"Grp_Resp";"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date échéance PA";"Libellé statut plan d'action";"N° Action";"Sujet action";"Date échéance action";"Site Action";"Groupe primaire";"Statut action";"Date modif statut";"Etat";
"PAIDSILD";"00009375 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°109 à 113 Mai 2014";"31/08/14";"APPROUVÉ";"00009375 - 02 ";"[DAM] INTEGRATION Fiches De Diffusion n° 109 à 113  - SCO";"31/08/14";"DAM";"PAEXPPI";"CLÔTURÉ";"26/06/14";"Close";
;;;;;;;"00009375 - 03 ";"[DAM] INTEGRATION Fiches De Diffusion n° 109 à 113  - AN";"31/08/14";"DAM";"PAAUTPI";"CLÔTURÉ";"15/09/14";"Close";
;;;;;;;"00009375 - 04 ";"[DAM] INTEGRATION Fiches De Diffusion n° 109 à 113  - TOR";"31/08/14";"DAM";"PAAUTPI";"CLÔTURÉ";"22/07/14";"Close";
;;;;;;;"00009375 - 05 ";"[DAM] INTEGRATION Fiches De Diffusion n° 109 à 113  - ES";"31/08/14";"DAM";"PAAUTPI";"CLÔTURÉ";"10/09/14";"Close";
;;;;;;;"00009375 - 06 ";"[DAM] INTEGRATION Fiches De Diffusion n° 109 à 113  - MSR CH";"31/08/14";"DAM";"PACHAPI";"NOTF/PRI";"23/06/14";"Active";
