
"N° PA (lien EAM A010)";"Type de PA";"Discipline";"Libellé du PA";"Date création PA";"Date échéance PA";"Repère équipement";"Site responsable plan d'actions";"Groupe responsable";"Service responsable PA";"Nom responsable PA";"Impact CPP/CSP";"Libellé statut plan d'action";"Date modif statut";"Type de note";"Notes concaténées";
"00003562 ";"DOCN";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"D";" Fiche action 10651 COMMENTAIRES ILD au CLIP 22 du 30/07/2014 : Complément CH6 au DA GC. Exigence d 'intégration sous 6 mois pour les Tranches ayant intégré le DAGC, et intégration simultannée au DAGC pour les autres tranches. Conséquence : Pour TR4 : création d'1 PA, pilote SQS CH6 (PASURPRCH6), éch 01/02/2015 Pour les autres tranches, à charge des pilotes RGE CHAP 6 d'ajouter une action dans les PA  :  TR1(3562), TR2(3547), TR3 (3564)- Commentaire dans le champ Description du PA et document ajoutés le 04/08/2014. ILD le 08/10/2014 : échéance repoussée en 2017 avec le DA GC";
"00003562 ";"DOCN";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"I";"Attention. Ce PA contient deux actions : le DA initial et son complément. L'onglet contient les deux référentiels CHAP VI à intégrer";
"00003562 ";"DOCN";" ";"DI001 - CIA - Référentiel DA GD CHD + Compl CPY - 1P2017-DAM";"16/09/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"S";"Date d'échéance des PA et actions reportés au 31/07/2017 car DA intégré lors de l'AT 2017 (date de l'ECU21 dans GPS au 19/06/2017))";
"00003595 ";"DOCN";" ";"DI001-STE Amendement au ""DA Grands Chauds""-1P3417";"19/09/13";"18/07/17";" ";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"28/10/13";"D";" FA-10146";
"00003629 ";"DOCN";" ";"DI001 - STE PNPP1267 TOME B POMPES RCV - 1P2017 DAM";"25/09/13";"18/07/17";" ";"DAM";"PASURPRCH3";;;;"APPROUVÉ";"28/10/13";"D";" FA-9318";
"00003665 ";"DOCN";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"D";" Procédures de conduite Incidentelle Accidentelle PNPP1267 ILD le 08/10/2014 : échéance repoussée en 2017 avec le DA GC";
"00003665 ";"DOCN";" ";"DI001 - CIA PNPP1267 - 1P2017 DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"S";"Report au 31/07/2017 de l'échéance du PA et de l'action associée car intégration lors de l'arrêt 2017 (ECU21 prévu le 31/07/2017 dans GPS au 19/06/2017)";
"00003669 ";"DOCN";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"D";" Procédures de Conduite Incidentelle Accidentelle - DA RCV PN ILD le 08/10/2014 : échéance repoussée en 2017 avec le DA GC";
"00003669 ";"DOCN";" ";"DI001 - CIA DA RCV PNPP1267 Tome B - 1P2017- DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"S";"Report de l'échéance du PA et de l'action associée au 31/07/2017 car intégration du DA RCV PNPP1267 lors de l'arrêt 2017 (ECU21 au 31/07/2017 dans GPS au 19/06/2017)";
"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"D";" Procédures de Conduite Incidentelle Accidentelle Palier CPY (excepté les réacteures du site de St Laurent) Chapitre IV des RGE Mise en application de l'ITS ""GE sur LLS"" ILD le 07/10/2014 : ne pas tenir compted e la phrase pré cédente sur ""LLS"". Il s'agit bien du PA pour CIA GC., repous sé en 2017";
"00003673 ";"DOCN";" ";"DI001 - CIA DA GChauds  - 1P2017-DAM";"01/10/13";"31/07/17";" ";"DAM";"PASURPRCH6";;;;"APPROUVÉ";"14/01/14";"S";"Report de l'échéance du PA et de l'action associée au 31/07/2017 car intégration du DA GC lors de l'arrêt 2017 (ECU21 au 31/07/2017 dans GPS au 19/06/2017)";
"00003775 ";"DOCN";" ";"[DI001]-MEA FA RRI024B & RIS092 - PNPP1267B- 1P2017 DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";"D";" CADRE D'INTEGRATION : Déclinaison des FA RRI024B & RIS092 OBJECTIF/CONTEXTE : Déploiement modification PNPP1267B APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL ESTIMEE : 10h pour Chapitre 9 CHARGE DE TRAVAIL ESTIMEE : 10h pour Documentation site CHARGE DE TRAVAIL ESTIMEE : 10h pour intégration SI Correspond aux FA 9563 et 9361";
"00003785 ";"DOCN";" ";"[DI001]-MEA du DA GRANDS CHAUDS- CH9- 1P2017-DAM";"10/10/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";"D";" CADRE : Déclinaison du DA GRANDS CHAUDS CONTEXTE : Référentiel Grands Chauds APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 60h pour intégration des FA dans chap9 CHARGE DE TRAVAIL : 50h pour mise à jour des chap3 des RGE CHARGE DE TRAVAIL : 90h pour intégration dans le SI ILD le 08/10/2013 : correspond à FA10150 et 10255 ATTENTION : Décision SQS/ILD du 06/01/2014 de piloter FA DVS 005 avec ce PA ILD le 20/05/2014; CLIP18 : ajout courrier D0900CP1400023 et  LNDP+ et - (4PNDT SIEM ET EPC DVG020) ILD le 24/09/2014 : report 2017 du DA GC";
"00004432 ";"DOCN";"AUT";"DI001 - PNM FA n°4 PBMP PB900RCV01 (1) PNPP1267 - 1P2017 DAM";"21/11/13";"01/10/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"21/11/13";"D";" FA-10190 dans la Base Suivi d'Actions Dampierre La FA4 PBMPRCV est déclinée dans l'AP913. Le pilote initialise les PMRQ au rythme de la modification. ========================================================== Mise à jour ILD le 21/09/2015 : PNPP1267 reportée en 2017 en TR1";
"00004966 ";"DOCN";"CHA";"[DI001]-MEA du PB450 12 ind 0-Ancrages IPS 1234C2013-DAM";"17/12/13";"01/01/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"17/11/16";"D";" CADRE : MEA du PB AM 450 12 ind 0 - Ancrages matériels IPS CONTEXTE : Création du PBMP APPLICABILITE : CPY DECLINAISON COMPLETE : NON, uniquement objets EAM CHARGE DE TRAVAIL : 8h pour intégration dans SI ILD le 17/12/2013 - PA de régul, correspond à la FA5926 - la date d'échéance est indicative, le PBMP ancrage est déj aa en retrad d'intégration et il est déclaré comme applicabl ee au receuil local 214. pas de LNDS donc pas de documents";
"00004966 ";"DOCN";"CHA";"[DI001]-MEA du PB450 12 ind 0-Ancrages IPS 1234C2013-DAM";"17/12/13";"01/01/17";" ";"DAM";"PAIDSPRCOM";;;;"APPROUVÉ";"17/11/16";"S";"Le mode de preuve de l'action 2 est dans les documents du PA Ref DAM-NIR-D453314018116/A. réouverture du PA pour prise en compte de l'action MTE qui n'avait pas été prise en compte (pas de création d'action). L'échéance du PA est reporté au 01/01/2017.";
"00004975 ";"DOCN";" ";"[DI001]-MEA de la FA RIS 092 C (PNPP 1267 B)- 1P2017-DAM";"19/12/13";"08/07/17";" ";"DAM";"PASURPRCH9";;;;"APPROUVÉ";"26/01/15";"D";" CADRE : MEA de la FA RIS 092 C CONTEXTE : Modif PNPP 1267 tome B APPLICABILITE : CPY DECLINAISON COMPLETE : OUI CHARGE DE TRAVAIL : 10h pour modification chapitre 9 des RGE CHARGE DE TRAVAIL : 10h pour intégration dans doc site CHARGE DE TRAVAIL : 10h pour intégration dans SI site ATTENTION : Liste des actions sur 2 pages (écran A020) FA RIS 092 ind C impossible à rattacher (RDU D305503434142) ILD le 19/12/2013 : CLIP8 partie complémentaire PNPP1267 tome B indD ILD le 24/09/2014 : report du DA GC TR1 en 2017";
