
"N° PA";"Type PA";"Spéc";"Libellé du PA";"Site";"Grp Resp";"Ech. PA";"Statut";"Date";;"A";"D";"I";"S";
"00057777 ";"DOCN";" ";"DI001- MEA PNPP1086C-Màj du module SAPA - 1234C2017 DAM";"DAM";"PAEXPPI";"10/07/17";"APPROUVÉ";"21/06/17";;;"1";;;
"00065686 ";"DOCN";"ROB";"DI001 - PLMP ROB SUBSTANCES DANGEREUSES - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"15/12/17";"APPROUVÉ";"21/06/17";;"1";"1";;;
"00065693 ";"DOCN";" ";"DI001 - MHA REF REFONTE SUPP DIREC DI044/001 - 1234C2017 DAM";"DAM";"PALNUPI";"31/12/17";"APPROUVÉ";"20/06/17";;;"1";;;
"00065987 ";"DOCN";"SIR";"[PIE] - récipient SAT001BAB Tr1234 P/TEM 2017-2018";"DAM";"PASIRPI";"19/12/17";"APPROUVÉ";"20/06/17";;;"1";;;
"00066032 ";"DOCN";"SIR";"[PIE] - récipient ASG001DZ-C/F Tr8-9 P/TEM 2017-2018";"DAM";"PASIRPI";"19/12/17";"APPROUVÉ";"20/06/17";;;"1";;;
"00066069 ";"DOCN";"SIR";"[PIE] - récipient SEP003-004BAB Tr0 P/TEM 2017-2018";"DAM";"PASIRPI";"19/12/17";"APPROUVÉ";"20/06/17";;;"1";;;
"00065785 ";"DOCN";"SIR";"[PIE] - récipient AHP 501-502 RE C/F 1234P 2018-2019";"DAM";"PASIRPI";"16/12/17";"APPROUVÉ";"16/06/17";;;"1";;;
"00062101 ";"DOCN";" ";"DI001 - MEA NOUV IND GUIDE METHOD DANS CNPE - 1234C2017 DAM";"DAM";"PASURPI";"12/04/18";"APPROUVÉ";"15/06/17";;;"1";;;
"00062105 ";"DOCN";" ";"DI001- MEA FA KPS 011 IND B CPY CP0 - IPCTEM2018 DAM";"DAM";"PASURPRCH9";"31/12/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00062120 ";"DOCN";" ";"DI001 - MEA CORREC EXIGEE DI08 REX2016- 14AT23TEM2017 DAM";"DAM";"PASURPI";"18/10/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00065675 ";"DOCN";"SIR";"[PIE] - récipient STR002BAB 1234P 2018-2019";"DAM";"PASIRPI";"15/12/17";"NOUVEAU";"15/06/17";;;"1";;;
"00065689 ";"DOCN";" ";"DI001 - MEA GAMMES MUTUAL SUITE REX EXP - 1234C2017 DAM";"DAM";"PAEXPPI";"31/12/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00065690 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°266 JUIN 2017";"DAM";"PAIDSILD";"14/08/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00065695 ";"DOCN";" ";"DI001 - MEA GAMMES MUTUAL SUITE REX EXPL - 1234C2017 DAM";"DAM";"PAEXPPI";"09/08/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00065698 ";"DOCN";" ";"DI001- MEA de la FA KPS 011 indice B IPCTEM2018";"DAM";"PAAUTPI";"30/06/17";"NOTIFIÉ";"15/06/17";;;"1";;;
"00065700 ";"DOCN";" ";"DI001- MEA DA SUIV DOSI EQ CRISE LOC TPAL - 1234C2017 DAM";"DAM";"PAFARPI";"01/12/17";"NOTIFIÉ";"15/06/17";;;"1";;;
"00065701 ";"DOCN";" ";"DI001- MEA DA ""3D/3P PRIMAIRE FERME"" TPAL - 1234C2017 DAM";"DAM";"PAFARPI";"01/12/17";"NOTIFIÉ";"15/06/17";;;"1";;;
"00065708 ";"DOCN";" ";"DI001 - MEA MO mutual PNSMQLKE01 suite DED - 1234C2017 DAM";"DAM";"PACHAPI";"14/08/17";"NOTIFIÉ";"15/06/17";;;"1";;;
"00065710 ";"DOCN";" ";"DI001-MEA EP LHT-1ère mutual - FA LHT023 - 1234C2017 DAM";"DAM";"PAEXPPI";"31/12/17";"APPROUVÉ";"15/06/17";;;"1";;;
"00065496 ";"DOCN";"SIR";"[PIE] - récipient AHP 601-602 RE C/F 1234P 2018-2019";"DAM";"PASIRPI";"14/12/17";"APPROUVÉ";"14/06/17";;;"1";;;
"00065555 ";"DOCN";"SIR";"[PIE] - fonction ABP055TY 1234P 2018-2019";"DAM";"PASIRPI";"14/12/17";"APPROUVÉ";"14/06/17";;;"1";;;
"00065558 ";"DOCN";"SIR";"[PIE] - fonction GPV100TY 1234P 2018-2019";"DAM";"PASIRPI";"14/12/17";"APPROUVÉ";"14/06/17";;;"1";;;
"00039971 ";"DOCN";" ";"DI001 - MEA GUIDE MANAGEMENT 996 - 1234C2017 DAM";"DAM";"PAINFPI";"30/06/17";"APPROUVÉ";"12/06/17";;;"1";;"1";
"00065307 ";"DOCN";"SIR";"[PIE] - fonction AHP606TY 1234P 2017-2018-2019";"DAM";"PASIRPI";"08/09/17";"APPROUVÉ";"12/06/17";;;"1";;;
"00063433 ";"DOCN";"SIR";"[PIE] - récipient TEP 00X EX 1234P 2018-2019";"DAM";"PASIRPI";"07/12/17";"APPROUVÉ";"08/06/17";;;"1";;;
"00065044 ";"DOCN";"SIR";"[PIE] - récipient LHP/LHQ 001-002 ZE B 1234P 2018-2019";"DAM";"PASIRPI";"08/12/17";"APPROUVÉ";"08/06/17";;;"1";;;
"00064632 ";"DOCN";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 1P2017 DAM";"DAM";"PASURPRCH9";"31/12/19";"APPROUVÉ";"07/06/17";;;"1";;;
"00064633 ";"DOCN";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 2P2018 DAM";"DAM";"PASURPRCH9";"31/12/19";"APPROUVÉ";"07/06/17";;;"1";;;
"00064634 ";"DOCN";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 3P2019 DAM";"DAM";"PASURPRCH9";"31/12/19";"APPROUVÉ";"07/06/17";;;"1";;;
"00064635 ";"DOCN";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 4P2018 DAM";"DAM";"PASURPRCH9";"31/12/19";"APPROUVÉ";"07/06/17";;;"1";;;
"00064852 ";"DOCN";"ROB";"DI001 - PLMP COR/ERO ORGA ROB SOUD BI-METAL - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"15/11/17";"APPROUVÉ";"07/06/17";;"1";"1";;;
"00064609 ";"DOCN";" ";"DI001- MEA FP GPSI D455016009806 + REX CL4-1234C2017 DAM";"DAM";"PAEXPPI";"31/12/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064616 ";"DOCN";" ";"DI001- MEA GAMMES MUT SUITE REX EXPL - 1234C2017 DAM";"DAM";"PAEXPPI";"18/07/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064619 ";"DOCN";"ELE";"DEROGATION : D455017009282-1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064627 ";"DOCN";" ";"DI001- REX spécifique P2 SP9 CH OTM 17 0003 1234C2017 DAM";"DAM";"PAEXPPI";"31/12/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064630 ";"DOCN";"CHA";"DI001- MEA de la DP 320 indice 0 - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"15/11/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064759 ";"DOCN";" ";"DI001-ACT REP COUR ASN CODEP-DCN-2016-039999 - 1234C2017 DAM";"DAM";"PAIDSPRTRA";"30/11/17";"APPROUVÉ";"06/06/17";;;"1";;;
"00064607 ";"DOCN";" ";"DI001- MEA RE non RGE MES CATIONS CHROM TPAL-1234C2017 DAM";"DAM";"PALABPI";"31/12/17";"NOTIFIÉ";"02/06/17";;;"1";;;
"00064611 ";"DOCN";" ";"DI001- REX P2 spécifique TRI CH DMO 16 0011-1234C2017 DAM";"DAM";"PACHAPI";"31/12/17";"NOTIFIÉ";"02/06/17";;;"1";;;
"00064622 ";"DOCN";" ";"Intégration des DEDs SDIN FDD n°264 à 265 MAI 2017";"DAM";"PAIDSILD";"30/07/17";"APPROUVÉ";"02/06/17";;;"1";;;
"00064631 ";"DOCN";" ";"DI001- REX spécifique P2 SP9 RO PMRQ 16 0011 - 1234C2017 DAM";"DAM";"PACHAPI";"31/08/17";"NOTIFIÉ";"02/06/17";;;"1";;;
"00064636 ";"DOCN";" ";"DI001- MEA REX specif P1 SP9 EL PMRQ 17 0003 - 1234C2017 DAM";"DAM";"PAMECPI";"31/08/17";"NOTIFIÉ";"02/06/17";;;"1";;;
"00063413 ";"DOCN";"SIR";"[PIE] - récipient SVA 060 VV B 89P 2018-2019";"DAM";"PASIRPI";"24/11/17";"APPROUVÉ";"24/05/17";;;"1";;;
"00063580 ";"DOCN";"SIR";"[PIE] - fonction GPV010TY 1234P 2018-2019";"DAM";"PASIRPI";"23/11/17";"APPROUVÉ";"23/05/17";;;"1";;;
"00063584 ";"DOCN";"SIR";"[PIE] - fonction GPV017TY 1234P 2018-2019";"DAM";"PASIRPI";"23/11/17";"APPROUVÉ";"23/05/17";;;"1";;;
"00062599 ";"DOCN";"SIR";"[PIE] - récipient GSS x00 ZZ C/F 1234P 2018-2019";"DAM";"PASIRPI";"22/11/17";"APPROUVÉ";"22/05/17";;;"1";;;
"00044112 ";"DOCN";" ";"DI001-MEA MAINT PREVENT. BAT PRODUC NON EIPS-IPCTEM2018 DAM";"DAM";"PAIPEPI";"31/12/17";"APPROUVÉ";"19/05/17";;;"1";;;
"00063277 ";"DOCN";"ELE";"DI001- MEA REX specifi P1 SP9 EL PMRQ17 0002 - 1234C2017 DAM";"DAM";"PAIDSPRCOM";"31/12/17";"APPROUVÉ";"19/05/17";;;"1";;"1";
"00063280 ";"DOCN";" ";"DI001-MEA REGLE PREV RISQUES AMIANTE DPN - 1234C2017 DAM";"DAM";"PASPRPI";"31/12/17";"APPROUVÉ";"19/05/17";;;"1";;;
"00063284 ";"DOCN";" ";"DI001- MEA de la FA01 au PB900AM450-01 ind 3 - 1234C2017 DAM";"DAM";"PACHAPI";"31/12/17";"NOTIFIÉ";"19/05/17";;;"1";;;
"00063292 ";"DOCN";" ";"DI001-MEA REGL ESSAI NON RGE TPAL MES ANIONS - 1234C2017 DAM";"DAM";"PALABPI";"31/12/18";"NOTIFIÉ";"19/05/17";;;"1";;;
"00063295 ";"DOCN";" ";"DI001-MEA REF RADIOPRO CHAPITRE 5 TPAL - 1234C2017 DAM";"DAM";"PASPRPI";"31/12/17";"APPROUVÉ";"19/05/17";;;"1";;;
