
"Après avoir décoché les actions ILD, si le PA ne contient plus AUCUNE Action ""Active"", le pilote du PA peut lancer la procédure de clôture.";;;;;;;;;;;;;;

"N° PA";"Grp Resp";"Spec";"Libellé PA";"Création";"Echéance";"Statut";"Active";;;;;;"Active";".";"Close";;"Close";".";
;;;;;;;"ACC/PRI";"ACC/SEC";"ATT/CLÔT";"NOTF/PRI";"NOTF/SEC";"NOUVEAU";;;"ANNULÉ";"CLÔTURÉ";;;
"00006577 ";"PAIDSPRSYS";"VCL";"DI001-PB AM450 14 (0) Ancrage ventilation IPS-1234P2015 DAM";"28/01/14";"30/06/14";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00009375 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°109 à 113 Mai 2014";"18/06/14";"31/08/14";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00009712 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°114 à 117 Juin 2014";"23/07/14";"30/09/14";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00009279 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°1 à 108, 03/2012 à 04/2014";"06/06/14";"30/10/14";"APPROUVÉ";;;;"1";;;"1";;;"10";"10";;
"00011088 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°118 à 121 Juillet 2014";"17/09/14";"31/10/14";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00011092 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°122 à 126 Aout 2014";"18/09/14";"30/11/14";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00011248 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°127 à 130 Septembre 2014";"29/09/14";"31/12/14";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00013561 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°131 à 135 Octobre 2014";"05/11/14";"31/01/15";"APPROUVÉ";;;;"2";;;"2";;;"9";"9";;
"00018539 ";"PASURPRPQ";" ";"DI001 - MEA DI128 indice 1 - 1234C2015 DAM";"24/04/15";"01/08/15";"APPROUVÉ";;;;;;"1";"1";;;;;;
"00020999 ";"PASIRPI";"SIR";"[PIE] - fonction AHP003TY 1234P 2015-2016-2017";"06/07/15";"24/09/15";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00021063 ";"PASIRPI";"SIR";"[PIE] - fonction AHP009TY 1234P 2016-2017";"07/07/15";"24/09/15";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00021148 ";"PASIRPI";"SIR";"[PIE] - fonction AHP010TY 1234P 2016-2017";"10/07/15";"24/09/15";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00020292 ";"PAFARPI";" ";"DI001 - MEA DE LA MAJ DE LA NTAQ 00289 - 1234C2015 DAM";"24/06/15";"01/10/15";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00019077 ";"PASIRPI";"SIR";"[PIE] - fonction ABP050TY 1234P 2016-2017";"19/05/15";"29/01/16";"SOUMIS";;;;;;"3";"3";;;;;;
"00021793 ";"PASIRPI";"SIR";"[PIE] - fonction GCT606TYB 1234P 2016-2017";"30/07/15";"29/01/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00025679 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°183 à 187 OCTOBRE 2015";"19/11/15";"31/01/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00006637 ";"PAIDSPI";"IDS";"DI001 - PB900-AP913-01 et 02 ind.2 - 1234P2015  DAM";"10/02/14";"12/02/16";"APPROUVÉ";"2";;;;;;"2";;"8";"9";"17";;
"00026382 ";"PAIDSILD";" ";"Intégration des DEDs SDIN FDD n°188 à 191 NOVEMBRE 2015";"14/12/15";"29/02/16";"APPROUVÉ";;;;"2";;;"2";;;"8";"8";;
"00022258 ";"PASIRPI";"SIR";"[PIE] - fonction AHP612TY 1234P 2016-2017";"13/08/15";"18/03/16";"APPROUVÉ";"1";;;;;;"1";;;"2";"2";;
"00023327 ";"PASIRPI";"SIR";"[PIE] - fonction GSS118TY 1234P 2016-2017";"11/09/15";"18/03/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00023329 ";"PASIRPI";"SIR";"[PIE] - fonction GSS218TY 1234P 2016-2017";"11/09/15";"18/03/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00023330 ";"PASIRPI";"SIR";"[PIE] - fonction GSS318TY 1234P 2016-2017";"11/09/15";"18/03/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00023333 ";"PASIRPI";"SIR";"[PIE] - fonction GSS418TY 1234P 2016-2017";"11/09/15";"18/03/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
"00027378 ";"PASIRPI";"SIR";"[PIE] - récipient GSSx01BA 1234P 2017-2018";"14/01/16";"18/03/16";"APPROUVÉ";;;;"1";;;"1";;;"2";"2";;
