
;"ACC/PRI";"ACC/SEC";"ANNULÉ";"ATT/CLÔT";"CLÔTURÉ";"NOTF/PRI";"NOTF/SEC";"NOUVEAU";;"Somme :";
"PAAUTPI";"10";"2";"1";"16";"164";"3";"19";"14";;"229";
"PACHAPI";"15";;;;"59";"180";;"28";;"282";
"PACITPRDOC";;;"1";"1";;;;;;"2";
"PADIRPI";;;;;;;;"1";;"1";
"PADOCPRDOC";"7";;;;"22";"86";;"28";;"143";
"PAEXPPI";"11";;"3";;"57";"12";;"9";;"92";
"PAEXPPRDOC";;;;;;;;"1";;"1";
"PAFARPI";;;;;;;;"3";;"3";
"PAIDSILD";"94";;"3";;"6";"30";;"58";;"191";
"PAIDSILFIA";;;"1";;;;;;;"1";
"PAIDSPI";"1";;"6";;"1";;;;;"8";
"PAIDSPRCOM";"2";;"2";;"12";"2";;"1";;"19";
"PAIDSPRSYS";;;;;;;;"1";;"1";
"PAIDSPRTRA";"2";;;;"2";"1";;"1";;"6";
"PAINFPI";"2";;;;;;;;;"2";
"PAIPEPI";"1";;;;"3";"2";;"3";;"9";
"PALABPI";;;;;"45";"9";;"3";;"57";
"PALNUPI";"4";;;;"50";;"1";"1";;"56";
"PAMAGPRDOC";"1";;;;;;;"1";;"2";
"PAMECPI";"4";"1";"1";;"64";"57";"2";"4";;"133";
"PAMECPRDOC";;;"1";;;"1";;;;"2";
"PAPJTPI";;;;;;;;"2";;"2";
"PASIRPI";;;;;"1";;;;;"1";
"PASPRPI";"7";;;;"49";"1";;;;"57";
"PASURPI";;;;;;;;"1";;"1";
"PASURPRCH3";;;;;;;;"2";;"2";
"PASURPRCH6";"4";;;;"3";;;;;"7";
"PASURPRCH9";;;;;;;;"1";;"1";
"PASURPRCRI";;;;;;"1";;;;"1";
"PASURPRPQ";;;;;;;;"3";;"3";
"PAXXXDOCN";;;"1";;;;;;;"1";
"SP9-COORDO";;;"1";;;;;;;"1";
;;;;;;;;;"1";"1";
"Somme :";"165";"3";"21";"17";"538";"385";"22";"166";"1";"1 318";

