
;"APPROUVÉ";"NOTIFIÉ";"NOUVEAU";"SOUMIS";"Somme :";
"PAAUTPI";"7";"1";;;"8";
"PACHAPI";"1";"10";;;"11";
"PADIRPI";;"1";;;"1";
"PAEXPPI";"10";"2";;;"12";
"PAFARPI";;"3";;;"3";
"PAIDSILD";"50";;"1";;"51";
"PAIDSPI";"7";;;;"7";
"PAIDSPRCOM";"40";;;;"40";
"PAIDSPRSYS";"6";;;;"6";
"PAIDSPRTRA";"22";;;;"22";
"PAINFPI";"2";;;;"2";
"PAIPEPI";"4";;;;"4";
"PALABPI";"4";"3";;;"7";
"PALNUPI";"4";;;;"4";
"PAMAGPRDOC";"1";;;;"1";
"PAMECPI";"1";"1";;;"2";
"PAPJTPI";;"2";;;"2";
"PASIRPI";"59";;"2";"1";"62";
"PASPRPI";"11";;;;"11";
"PASURPI";"2";;;;"2";
"PASURPRCH1";;"1";;;"1";
"PASURPRCH3";"7";;;;"7";
"PASURPRCH6";"13";;;;"13";
"PASURPRCH9";"31";;;;"31";
"PASURPRCRI";"1";;;;"1";
"PASURPRPQ";"1";"1";;;"2";
;;;"1";;"1";
"Somme :";"284";"25";"4";"1";"314";

